Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 20-Sep-2022 at 15:19:45.
Created 20-Sep-2022 15:19:45.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.0250	 	 	 	 	 0.000367
 0.0500	-0.000070	-0.002695	-0.000010	-0.000370	 0.000731
 0.0750	 	 	 	 	 0.001411
 0.1000	-0.000294	-0.006174	-0.000042	-0.000924	 0.002075
 0.1250	 	 	 	 	 0.003401
 0.1500	-0.000680	-0.009131	-0.000101	-0.001376	 0.004643
 0.1750	 	 	 	 	 0.006149
 0.2000	-0.001142	-0.009308	-0.000170	-0.001369	 0.007385
 0.2250	 	 	 	 	 0.011550
 0.2500	-0.001518	-0.005563	-0.000222	-0.000687	 0.014173
 0.2750	 	 	 	 	 0.016035
 0.3000	-0.001619	 0.001605	-0.000227	 0.000493	 0.014580
 0.3250	 	 	 	 	 0.009437
 0.3500	-0.001332	 0.009893	-0.000171	 0.001748	 0.001228
 0.3750	 	 	 	 	-0.010550
 0.4000	-0.000667	 0.016524	-0.000060	 0.002630	-0.024002
 0.4250	 	 	 	 	-0.039491
 0.4500	 0.000209	 0.018087	 0.000074	 0.002686	-0.054439
 0.4750	 	 	 	 	-0.069488
 0.5000	 0.000943	 0.010722	 0.000181	 0.001542	-0.081839
 0.5250	 	 	 	 	-0.092545
 0.5500	 0.001040	-0.007180	 0.000201	-0.000717	-0.099128
 0.5750	 	 	 	 	-0.102607
 0.6000	 0.000082	-0.030339	 0.000098	-0.003274	-0.102168
 0.6250	 	 	 	 	-0.098333
 0.6500	-0.001834	-0.043869	-0.000107	-0.004684	-0.093775
 0.6750	 	 	 	 	-0.089743
 0.7000	-0.003698	-0.027244	-0.000319	-0.003624	-0.090270
 0.7250	 	 	 	 	-0.098857
 0.7500	-0.003894	 0.019709	-0.000421	-0.000510	-0.115400
 0.7750	 	 	 	 	-0.146760
 0.8000	-0.001800	 0.058931	-0.000360	 0.002712	-0.182298
 0.8250	 	 	 	 	-0.234411
 0.8500	 0.001033	 0.046267	-0.000166	 0.004850	-0.278465
 0.8750	 	 	 	 	-0.317032
 0.9000	 0.001479	-0.031816	 0.000091	 0.005537	-0.337678
 0.9250	 	 	 	 	-0.345497
 0.9500	-0.002631	-0.125032	 0.000372	 0.005957	-0.340073
 0.9750	 	 	 	 	-0.311111
 1.0000	-0.011046	-0.189549	 0.000677	 0.006357	-0.296398


 -------- Mode No.   9  (freq = 0.12941E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000125
 0.0500	-0.000002	-0.000059	 0.000000	 0.000002	 0.000250
 0.0750	 	 	 	 	 0.000482
 0.1000	-0.000006	-0.000084	 0.000000	 0.000009	 0.000711
 0.1250	 	 	 	 	 0.001178
 0.1500	-0.000007	 0.000028	 0.000001	 0.000036	 0.001636
 0.1750	 	 	 	 	 0.002242
 0.2000	 0.000001	 0.000335	 0.000004	 0.000089	 0.002828
 0.2250	 	 	 	 	 0.005374
 0.2500	 0.000033	 0.001022	 0.000011	 0.000194	 0.007821
 0.2750	 	 	 	 	 0.012379
 0.3000	 0.000107	 0.001990	 0.000024	 0.000322	 0.016662
 0.3250	 	 	 	 	 0.021078
 0.3500	 0.000230	 0.003041	 0.000043	 0.000436	 0.025157
 0.3750	 	 	 	 	 0.029358
 0.4000	 0.000402	 0.003913	 0.000066	 0.000494	 0.033313
 0.4250	 	 	 	 	 0.037535
 0.4500	 0.000605	 0.004257	 0.000089	 0.000445	 0.041774
 0.4750	 	 	 	 	 0.046730
 0.5000	 0.000802	 0.003680	 0.000106	 0.000248	 0.052025
 0.5250	 	 	 	 	 0.058768
 0.5500	 0.000944	 0.002111	 0.000111	-0.000071	 0.065999
 0.5750	 	 	 	 	 0.075799
 0.6000	 0.000999	 0.000348	 0.000098	-0.000408	 0.085907
 0.6250	 	 	 	 	 0.099536
 0.6500	 0.001001	 0.000223	 0.000073	-0.000592	 0.112793
 0.6750	 	 	 	 	 0.129455
 0.7000	 0.001087	 0.003707	 0.000045	-0.000486	 0.144736
